cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,w_c,binder,w_b,agg_ratio
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.887365759999994,0.3,540.0,0.3,0.6407582938388625
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004,0.8571428571428571,380.0,0.6,0.7188841201716738
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788,0.6,475.0,0.48,0.6373390557939914
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856,0.8571428571428571,380.0,0.6,0.7188841201716738
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986,0.48,475.0,0.48,0.6373390557939914
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994,0.9667673716012085,331.0,0.5800604229607251,0.8437244480784956
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592,0.9667673716012085,331.0,0.5800604229607251,0.8437244480784956
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164,1.2,380.0,0.6,0.7188841201716738
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648,0.75,380.0,0.6,0.7188841201716738
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995,0.6,380.0,0.6,0.7188841201716738
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047983999995,1.3753581661891119,349.0,0.5501432664756447,0.7706781279847182
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252031999994,0.6,475.0,0.48,0.6373390557939914
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748958,1.3753581661891119,349.0,0.5501432664756447,0.7706781279847182
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06342182,1.3753581661891119,349.0,0.5501432664756447,0.7706781279847182
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.427515183999994,0.5333333333333333,475.0,0.48,0.6373390557939914
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.60376124,0.48,475.0,0.48,0.6373390557939914
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.079769451999997,0.96,475.0,0.48,0.6373390557939914
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.721921436,0.6857142857142857,475.0,0.48,0.6373390557939914
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.229026048,0.48,475.0,0.48,0.6373390557939914
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.45930106,0.6666666666666666,380.0,0.6,0.7188841201716738
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.542997428,0.5333333333333333,475.0,0.48,0.6373390557939914
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.076402024,0.5333333333333333,475.0,0.48,0.6373390557939914
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.049192651999999,0.5501432664756447,349.0,0.5501432664756447,0.7706781279847182
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.258003984,0.96,475.0,0.48,0.6373390557939914
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.823194456,0.6,475.0,0.48,0.6373390557939914
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.116911232,0.96,475.0,0.48,0.6373390557939914
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.185149411999994,0.75,380.0,0.6,0.7188841201716738
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.589312159999999,1.3753581661891119,349.0,0.5501432664756447,0.7706781279847182
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.638264955999999,0.9667673716012085,331.0,0.5800604229607251,0.8437244480784956
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.131420144,0.9667673716012085,331.0,0.5800604229607251,0.8437244480784956
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.019005639999996,0.6857142857142857,475.0,0.48,0.6373390557939914
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156,0.6193548387096774,310.0,0.6193548387096774,0.8760041194644697
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.275580636,0.6857142857142857,475.0,0.48,0.6373390557939914
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.856968808,1.2,380.0,0.6,0.7188841201716738
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.98818916,0.30103092783505153,485.0,0.30103092783505153,0.7142857142857143
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.39795764,0.4548128342245989,563.2,0.3020241477272727,0.8170823885109599
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.79941252,0.5601659751037344,575.5,0.3049522154648132,0.5843920145190562
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.398217439999996,0.3611764705882353,531.3,0.2889139845661585,1.0410749911982162
